,Unnamed: 0,Unnamed: 0.1,path_signal,path_target,path_signal_transformed,path_prediction,path_prediction_unpropped,mbp_file,tform,predicted_tform,pixel_error
10,10,10,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_010_1650204923/Tile_r1-c3_S_010_165020_flip_flip.tif,,10/signal_transformed.tiff,10/prediction.tiff,10/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0010_F0011_Z00.tif,-0.0121937749 -0.0984344347 0.0983474499 -0.0120742526 537.7347595863 1389.9070409400,-0.013053 -0.099144 0.099144 -0.013053 538.431100 1391.147829,0.7568139457502023
11,11,11,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_011_1090235070/Tile_r1-c2_S_011_109023_flip_flip.tif,,11/signal_transformed.tiff,11/prediction.tiff,11/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0011_F0013_Z00.tif,-0.0318472530 -0.0901822290 0.0899800036 -0.0319275497 335.0213004981 1001.9210382004,-0.094805 -0.031813 0.031813 -0.094805 1494.243572 293.963387,357.10270786245025
12,12,12,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 3/S_012_1027389675/Tile_r2-c1_S_012_102738_flip_flip.tif,,12/signal_transformed.tiff,12/prediction.tiff,12/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0012_F0007_Z00.tif,0.0012769365 0.0964775369 -0.0964465758 0.0030938564 310.0697817418 236.4598277600,-0.065540 -0.075528 0.075528 -0.065540 1583.508877 1155.801149,2091.2368418752
13,13,13,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 5/S_013_498536366/Tile_r1-c1_S_013_49853_flip_flip.tif,,13/signal_transformed.tiff,13/prediction.tiff,13/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0013_F0010_Z00.tif,0.0060016391 0.0970496532 -0.0963983681 0.0062680167 344.7750440823 1259.6759957296,0.007759 0.099699 -0.099699 0.007759 343.954725 1256.406911,2.439977214050882
14,14,14,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_014_2040814785/Tile_r2-c3_S_014_204081_flip_flip.tif,,14/signal_transformed.tiff,14/prediction.tiff,14/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0014_F0015_Z00.tif,-0.0149887908 -0.0979011086 0.0977389365 -0.0148744351 426.1535415576 1360.6706752836,-0.015643 -0.098769 0.098769 -0.015643 426.655959 1360.809210,0.6168458850571628
15,15,15,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 5/S_015_560144921/Tile_r2-c1_S_015_56014_flip_flip.tif,,15/signal_transformed.tiff,15/prediction.tiff,15/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0015_F0010_Z00.tif,0.0069346781 0.0972183731 -0.0970516249 0.0067185624 491.5411822984 1260.0138145860,0.007759 0.099699 -0.099699 0.007759 492.954725 1258.406911,1.5719995479994444
16,16,16,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 4/S_016_673357884/Tile_r1-c1_S_016_67335_flip_flip.tif,,16/signal_transformed.tiff,16/prediction.tiff,16/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0016_F0008_Z00.tif,0.0046974043 0.0977332210 -0.0975185282 0.0047854456 246.5038615321 573.1310040233,0.006018 0.099819 -0.099819 0.006018 247.350766 572.622612,2.173534685399115
17,17,17,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take2_data/session_1348845486/Site 5/S_017_1078503052/Tile_r1-c2_S_017_107850_flip_flip.tif,,17/signal_transformed.tiff,17/prediction.tiff,17/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0017_F0010_Z00.tif,0.0080366620 0.0966748535 -0.0958910814 0.0085567947 414.1498101990 1397.5880668924,0.008629 0.099627 -0.099627 0.008629 414.248801 1394.808244,2.9791404689829393
18,18,18,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_data/session_1836000179/Site 3/S_018_1970714579/Tile_r3-c2_S_018_197071_flip_flip.tif,,18/signal_transformed.tiff,18/prediction.tiff,18/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0018_F0015_Z00.tif,-0.0170106487 -0.0976211487 0.0974370150 -0.0168075163 353.6705520987 1489.3232433658,-0.017365 -0.098481 0.098481 -0.017365 353.163032 1489.884195,0.6125885362761458
19,19,19,/allen/aics/modeling/data/registration_test_data/M247514_Rorb_1/EMraw/ribbon0000/M247514_Rorb_1_Ribbon0000_take3_data/session_1840855416/Site 4/S_019_118780260/Tile_r1-c1_S_019_11878_flip_flip.tif,,19/signal_transformed.tiff,19/prediction.tiff,19/prediction_unpropped.tiff,file:/nas3/data/M247514_Rorb_1/processed/deconvolveddata_new/Ribbon0000/Session0003/MBP/MBP_S0019_F0013_Z00.tif,-0.0350863490 -0.0888548514 0.0887438848 -0.0351234130 244.3614591310 1074.9746823611,-0.096793 -0.025122 0.025122 -0.096793 1382.752800 202.436516,173.46585359360006
